YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,10,21,3,DL,1939,N910DL,14122,10397,1511,1518,7,21,1539,105,105,75,526,1654,9,1656,1703,7,0,0,,,,,,
2015,9,5,6,DL,2424,N809DN,SEA,DTW,1345,1353,8,23,1416,250,250,221,1927,2057,6,2055,2103,8,0,0,,,,,,
2015,7,19,7,UA,403,N833UA,DCA,IAH,1529,1545,16,14,1559,201,176,157,1208,1736,5,1750,1741,-9,0,0,,,,,,
2015,6,10,3,WN,1645,N298WN,LAS,LAX,530,542,12,29,611,65,78,44,236,655,5,635,700,25,0,0,,13,0,12,0,0
2015,6,13,6,MQ,3449,N508MQ,BNA,ORD,1228,1222,-6,11,1233,102,82,65,409,1338,6,1410,1344,-26,0,0,,,,,,
2015,9,24,4,EV,5491,N197PQ,OAJ,ATL,600,552,-8,16,608,93,83,64,399,712,3,733,715,-18,0,0,,,,,,
2015,9,13,7,WN,366,N209WN,BWI,DEN,835,834,-1,23,857,245,236,199,1491,1016,14,1040,1030,-10,0,0,,,,,,
2015,11,6,5,WN,1880,N725SW,BOS,MKE,545,542,-3,12,554,170,163,143,860,717,8,735,725,-10,0,0,,,,,,
2015,6,28,7,WN,1154,N7718B,MCO,BNA,1340,1708,208,16,1724,110,109,87,616,1751,6,1430,1757,207,0,0,,0,0,207,0,0
2015,5,5,2,WN,884,N216WR,PHX,MSP,1420,1420,0,9,1429,180,168,155,1276,1904,4,1920,1908,-12,0,0,,,,,,
2015,2,20,5,US,609,N543UW,RSW,CLT,1455,1452,-3,10,1502,114,110,92,600,1634,8,1649,1642,-7,0,0,,,,,,
2015,12,21,1,UA,636,N25705,CLT,ORD,1013,1053,40,13,1106,137,107,89,599,1135,5,1130,1140,10,0,0,,,,,,
2015,1,31,6,UA,428,N223UA,IAH,IAD,1150,1216,26,15,1231,172,173,148,1190,1559,10,1542,1609,27,0,0,,1,0,26,0,0
2015,3,30,1,OO,5181,N787SK,LAX,ASE,815,815,0,24,839,123,129,99,737,1118,6,1118,1124,6,0,0,,,,,,
2015,3,10,2,WN,3413,N358SW,TPA,CMH,2150,2228,38,9,2237,135,125,112,829,29,4,5,33,28,0,0,,0,0,15,13,0
2015,9,5,6,NK,332,N503NK,ACY,BOS,1700,1650,-10,9,1659,71,71,47,274,1746,15,1811,1801,-10,0,0,,,,,,
2015,9,19,6,WN,1659,N624SW,BUF,BWI,1400,1355,-5,9,1404,70,72,55,281,1459,8,1510,1507,-3,0,0,,,,,,
2015,5,28,4,OO,4561,N685BR,SLC,SJC,1500,1456,-4,16,1512,124,119,99,584,1551,4,1604,1555,-9,0,0,,,,,,
2015,9,4,5,AA,1213,N4XXAA,SAT,DFW,1002,951,-11,13,1004,73,68,43,247,1047,12,1115,1059,-16,0,0,,,,,,
2015,4,28,2,US,560,N640AW,MCI,PHX,545,536,-9,12,548,171,151,133,1044,601,6,636,607,-29,0,0,,,,,,
2015,1,5,1,WN,1824,N685SW,BWI,BOS,805,833,28,14,847,85,70,51,369,938,5,930,943,13,0,0,,,,,,
2015,7,23,4,F9,244,N908FR,DEN,IAH,1020,1014,-6,11,1025,138,134,113,862,1318,10,1338,1328,-10,0,0,,,,,,
2015,2,15,7,HA,339,N485HA,OGG,LIH,1305,1304,-1,7,1311,45,47,35,201,1346,5,1350,1351,1,0,0,,,,,,
2015,12,14,1,AA,205,N870AA,BOS,LAX,600,555,-5,18,613,402,381,354,2611,907,9,942,916,-26,0,0,,,,,,
2015,12,20,7,MQ,3262,N697MQ,CVG,ORD,821,833,12,26,859,108,82,48,264,847,8,909,855,-14,0,0,,,,,,
2015,10,28,3,EV,5538,N917EV,10397,10980,810,805,-5,10,815,47,43,30,106,845,3,857,848,-9,0,0,,,,,,
2015,1,17,6,B6,736,N768JB,LGB,SFO,809,759,-10,8,807,87,69,56,354,903,5,936,908,-28,0,0,,,,,,
2015,6,8,1,WN,727,N7733B,MDW,SDF,2115,2346,151,8,2354,65,57,43,271,137,6,2320,143,143,0,0,,0,0,17,126,0
2015,3,14,6,UA,1559,N27901,IAH,DEN,900,902,2,35,937,154,158,115,862,1032,8,1034,1040,6,0,0,,,,,,
2015,2,25,3,WN,1798,N282WN,HOU,BNA,945,942,-3,12,954,105,95,79,670,1113,4,1130,1117,-13,0,0,,,,,,
2015,4,6,1,EV,4921,N147PQ,ATL,GRB,1445,1442,-3,11,1453,141,116,101,774,1534,4,1606,1538,-28,0,0,,,,,,
2015,9,9,3,WN,156,N413WN,MDW,HOU,1625,1623,-2,13,1636,155,155,135,937,1851,7,1900,1858,-2,0,0,,,,,,
2015,6,18,4,MQ,3594,N604MQ,CVG,MIA,1755,1752,-3,23,1815,154,167,139,948,2034,5,2029,2039,10,0,0,,,,,,
2015,7,5,7,AA,2439,N3FWAA,DFW,DCA,1955,2001,6,14,2015,181,177,157,1192,2352,6,2356,2358,2,0,0,,,,,,
2015,9,18,5,WN,2843,N458WN,MDW,LGA,550,546,-4,13,559,125,116,97,725,836,6,855,842,-13,0,0,,,,,,
2015,12,14,1,DL,670,N905DL,LGA,ATL,1700,1659,-1,15,1714,176,141,118,762,1912,8,1956,1920,-36,0,0,,,,,,
2015,11,29,7,WN,337,N656SW,BHM,MCO,2055,2048,-7,8,2056,90,84,69,479,2305,7,2325,2312,-13,0,0,,,,,,
2015,6,24,3,AS,29,N408AS,ORD,SEA,1530,1523,-7,21,1544,265,276,249,1721,1753,6,1755,1759,4,0,0,,,,,,
2015,11,24,2,AA,615,N914UY,PHL,SFO,745,739,-6,25,804,384,382,351,2521,1055,6,1109,1101,-8,0,0,,,,,,
2015,4,4,6,US,1950,N509AY,PHL,FLL,800,752,-8,28,820,174,169,138,992,1038,3,1054,1041,-13,0,0,,,,,,
2015,1,8,4,UA,272,N490UA,ORD,SEA,805,809,4,19,828,275,273,247,1721,1035,7,1040,1042,2,0,0,,,,,,
2015,3,10,2,US,646,N654AW,BOI,PHX,700,654,-6,16,710,123,114,92,735,742,6,803,748,-15,0,0,,,,,,
2015,10,15,4,OO,4793,N910EV,10408,13487,600,707,67,22,729,66,79,46,236,815,11,706,826,80,0,0,,13,0,67,0,0
2015,7,15,3,WN,3054,N266WN,STL,AUS,1615,1608,-7,9,1617,115,115,100,721,1757,6,1810,1803,-7,0,0,,,,,,
2015,3,31,2,DL,2543,N928AT,DAL,ATL,1246,1242,-4,13,1255,125,117,88,721,1523,16,1551,1539,-12,0,0,,,,,,
2015,4,9,4,OO,6378,N792SK,ORD,CID,744,,,,,64,,,196,,,848,,,0,1,B,,,,,
2015,9,2,3,UA,602,N835UA,SLC,IAH,1404,1715,191,17,1732,186,170,149,1195,2101,4,1810,2105,175,0,0,,0,0,0,175,0
2015,3,13,5,UA,786,N828UA,ORD,MSY,1231,1246,15,14,1300,151,137,120,837,1500,3,1502,1503,1,0,0,,,,,,
2015,4,23,4,OO,5627,N732SK,ORD,MSN,2305,2256,-9,12,2308,54,43,26,108,2334,5,2359,2339,-20,0,0,,,,,,
2015,3,12,4,B6,745,N591JB,JFK,PSE,2359,3,4,15,18,230,214,195,1617,333,4,349,337,-12,0,0,,,,,,
2015,1,14,3,AA,1542,N583AA,DFW,PHL,1205,1201,-4,15,1216,184,181,152,1303,1548,14,1609,1602,-7,0,0,,,,,,
2015,12,21,1,UA,1994,N468UA,IAH,GUC,1139,1132,-7,26,1158,167,173,143,886,1321,4,1326,1325,-1,0,0,,,,,,
2015,3,16,1,MQ,3543,N694MQ,DFW,MHK,940,936,-4,11,947,84,77,64,431,1051,2,1104,1053,-11,0,0,,,,,,
2015,1,19,1,DL,1954,N907DE,DFW,ATL,700,655,-5,21,716,128,131,96,731,952,14,1008,1006,-2,0,0,,,,,,
2015,1,6,2,DL,2360,N306DQ,SLC,DCA,1702,1700,-2,10,1710,235,212,198,1851,2228,4,2257,2232,-25,0,0,,,,,,
2015,4,5,7,MQ,3651,N503MQ,ORD,GRR,1340,1337,-3,24,1401,58,53,25,137,1526,4,1538,1530,-8,0,0,,,,,,
2015,6,16,2,EV,4192,N12142,IAH,ECP,1210,1335,85,92,1507,115,187,92,572,1639,3,1405,1642,157,0,0,,72,0,85,0,0
2015,3,18,3,WN,111,N356SW,BNA,RSW,900,854,-6,11,905,115,117,103,722,1148,3,1155,1151,-4,0,0,,,,,,
2015,2,24,2,AA,1271,N3ECAA,DFW,SNA,1010,1010,0,12,1022,200,198,181,1205,1123,5,1130,1128,-2,0,0,,,,,,
2015,1,22,4,UA,318,N474UA,IAH,PIT,1303,1300,-3,13,1313,164,148,125,1117,1618,10,1647,1628,-19,0,0,,,,,,
2015,11,28,6,WN,3979,N7702A,ONT,SJC,2045,2118,33,6,2124,70,64,52,333,2216,6,2155,2222,27,0,0,,0,0,0,27,0
2015,9,18,5,F9,1294,N203FR,ORD,MCO,1405,1358,-7,25,1423,165,168,133,1005,1736,10,1750,1746,-4,0,0,,,,,,
